selector,decision,chosen_policy,evidence_score,tau,false_safe,unsafe_accept,selected_truth_cvar,selected_truth_return,task,family,behavior,seed,scheme,risk_version,budget,mode,target_abstain,common_budget,abstention_rate,accept_rate,reject_rate,abstention_gap,matched,false_safe_denominator
SCROPE++,ACCEPT,ridge_return_train_only,0.008384619727852871,0.0377527770419426,0,0,0.033625702247191,0.0005329705056179,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.11666666666666667,0.7166666666666667,0.16666666666666666,0.13333333333333333,False,ACCEPT decisions
Support only,ACCEPT,constant_a000,483.0000000000109,0.0377527770419426,0,1,0.0407584269662921,0.0003740519662921,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.11666666666666667,0.8833333333333333,0.0,0.13333333333333333,False,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.0117948447621238,0.0377527770419426,0,0,0.033625702247191,0.0005329705056179,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a011,-0.0135,0.0377527770419426,0,0,0.0318063202247191,0.0005039325842696,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,ridge_return_train_only,0.008384619727852871,0.1,0,0,0.033625702247191,0.0005329705056179,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.11666666666666667,0.7583333333333333,0.125,0.13333333333333333,False,ACCEPT decisions
Support only,ACCEPT,constant_a000,483.0000000000109,0.1,0,0,0.0407584269662921,0.0003740519662921,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.11666666666666667,0.8833333333333333,0.0,0.13333333333333333,False,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.0117948447621238,0.1,0,0,0.033625702247191,0.0005329705056179,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a011,-0.0135,0.1,0,0,0.0318063202247191,0.0005039325842696,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,constant_a021,0.055318728473830014,0.0377527770419426,0,0,0.0260328651685393,0.0005365870786516,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.11666666666666667,0.25833333333333336,0.625,0.13333333333333333,False,ACCEPT decisions
Support only,ACCEPT,constant_a000,483.0000000000109,0.0377527770419426,0,1,0.0407584269662921,0.0003740519662921,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.11666666666666667,0.8833333333333333,0.0,0.13333333333333333,False,ACCEPT decisions
