selector,decision,chosen_policy,evidence_score,tau,false_safe,unsafe_accept,selected_truth_cvar,selected_truth_return,task,family,behavior,seed,scheme,risk_version,budget,mode,target_abstain,common_budget,abstention_rate,accept_rate,reject_rate,abstention_gap,matched,false_safe_denominator
SCROPE++,REJECT,constant_a012,15.000000000000002,0.0358786092715231,0,0,0.0356588483146067,0.0007839887640449,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.11666666666666667,0.25833333333333336,0.625,0.13333333333333333,False,ACCEPT decisions
Support only,ACCEPT,constant_a009,252.9999999999985,0.0358786092715231,0,1,0.0483766853932584,0.0001185744382022,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.11666666666666667,0.8833333333333333,0.0,0.13333333333333333,False,ACCEPT decisions
LCB only,ACCEPT,constant_a012,0.0063085806842286,0.0358786092715231,0,0,0.0356588483146067,0.0007839887640449,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a027,-0.0112293387995373,0.0358786092715231,0,0,0.0283084269662921,0.0005108848314606,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,constant_a003,0.03943876686804826,0.1,0,0,0.0414182584269662,0.000610077247191,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.11666666666666667,0.35,0.5333333333333333,0.13333333333333333,False,ACCEPT decisions
Support only,ACCEPT,constant_a009,252.9999999999985,0.1,0,0,0.0483766853932584,0.0001185744382022,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.11666666666666667,0.8833333333333333,0.0,0.13333333333333333,False,ACCEPT decisions
LCB only,ACCEPT,constant_a012,0.0063085806842286,0.1,0,0,0.0356588483146067,0.0007839887640449,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a027,-0.0112293387995373,0.1,0,0,0.0283084269662921,0.0005108848314606,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,constant_a005,0.001679747049856073,0.0358786092715231,0,0,0.0246834269662921,0.0002593398876404,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.11666666666666667,0.7166666666666667,0.16666666666666666,0.13333333333333333,False,ACCEPT decisions
Support only,ACCEPT,constant_a009,252.9999999999985,0.0358786092715231,0,1,0.0483766853932584,0.0001185744382022,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.11666666666666667,0.8833333333333333,0.0,0.13333333333333333,False,ACCEPT decisions
LCB only,ACCEPT,constant_a012,0.0071487011951011,0.0358786092715231,0,0,0.0356588483146067,0.0007839887640449,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a027,-0.0056999999999999,0.0358786092715231,0,0,0.0283084269662921,0.0005108848314606,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,constant_a012,0.0002681949071200451,0.1,0,0,0.0356588483146067,0.0007839887640449,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.11666666666666667,0.7583333333333333,0.125,0.13333333333333333,False,ACCEPT decisions
Support only,ACCEPT,constant_a009,252.9999999999985,0.1,0,0,0.0483766853932584,0.0001185744382022,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.11666666666666667,0.8833333333333333,0.0,0.13333333333333333,False,ACCEPT decisions
LCB only,ACCEPT,constant_a012,0.0071487011951011,0.1,0,0,0.0356588483146067,0.0007839887640449,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a027,-0.0056999999999999,0.1,0,0,0.0283084269662921,0.0005108848314606,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,REJECT,constant_a012,15.000000000000002,0.0358786092715231,0,0,0.0356588483146067,0.0007839887640449,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.11666666666666667,0.25833333333333336,0.625,0.13333333333333333,False,ACCEPT decisions
Support only,ACCEPT,constant_a009,252.9999999999985,0.0358786092715231,0,1,0.0483766853932584,0.0001185744382022,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.11666666666666667,0.8833333333333333,0.0,0.13333333333333333,False,ACCEPT decisions
LCB only,ACCEPT,constant_a012,0.0071487011951011,0.0358786092715231,0,0,0.0356588483146067,0.0007839887640449,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a027,-0.0142735099337747,0.0358786092715231,0,0,0.0283084269662921,0.0005108848314606,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,constant_a003,0.03943876686804826,0.1,0,0,0.0414182584269662,0.000610077247191,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.11666666666666667,0.3416666666666667,0.5416666666666666,0.13333333333333333,False,ACCEPT decisions
Support only,ACCEPT,constant_a009,252.9999999999985,0.1,0,0,0.0483766853932584,0.0001185744382022,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.11666666666666667,0.8833333333333333,0.0,0.13333333333333333,False,ACCEPT decisions
LCB only,ACCEPT,constant_a012,0.0071487011951011,0.1,0,0,0.0356588483146067,0.0007839887640449,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a027,-0.0142735099337747,0.1,0,0,0.0283084269662921,0.0005108848314606,daily_industry_30,daily industry/factor,adversarial_support_mismatch,17,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,ridge_return_train_only,0.006267291513748496,0.0358786092715231,0,0,0.0355846910112359,0.0004875702247191,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,block,bootstrap,baseline_linked,paper_natural,0.25,,0.15,0.7,0.15,0.1,True,ACCEPT decisions
Support only,ACCEPT,constant_a017,649.9999999999873,0.0358786092715231,0,1,0.0730228932584269,0.0005252808988764,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,block,bootstrap,baseline_linked,paper_natural,0.25,,0.15,0.85,0.0,0.1,True,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.016659647487381,0.0358786092715231,0,0,0.0355846910112359,0.0004875702247191,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,block,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a027,-0.0053,0.0358786092715231,0,0,0.0283084269662921,0.0005108848314606,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,block,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,ridge_return_train_only,0.006267291513748496,0.1,0,0,0.0355846910112359,0.0004875702247191,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,block,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.15,0.7083333333333334,0.14166666666666666,0.1,True,ACCEPT decisions
Support only,ACCEPT,constant_a017,649.9999999999873,0.1,0,0,0.0730228932584269,0.0005252808988764,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,block,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.15,0.85,0.0,0.1,True,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.016659647487381,0.1,0,0,0.0355846910112359,0.0004875702247191,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,block,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a027,-0.0053,0.1,0,0,0.0283084269662921,0.0005108848314606,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,block,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,constant_a019,0.026404445670203718,0.0358786092715231,0,0,0.026654213483146,0.0004219803370786,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.15,0.20833333333333334,0.6416666666666667,0.1,True,ACCEPT decisions
Support only,ACCEPT,constant_a017,649.9999999999873,0.0358786092715231,0,1,0.0730228932584269,0.0005252808988764,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.15,0.85,0.0,0.1,True,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.016659647487381,0.0358786092715231,0,0,0.0355846910112359,0.0004875702247191,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,low_vol_12,-0.018329338799537402,0.0358786092715231,0,0,0.0241396535580524,0.0005349051966292,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,constant_a003,0.03943876686804826,0.1,0,0,0.0414182584269662,0.000610077247191,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.15,0.3416666666666667,0.5083333333333333,0.1,True,ACCEPT decisions
Support only,ACCEPT,constant_a017,649.9999999999873,0.1,0,0,0.0730228932584269,0.0005252808988764,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.15,0.85,0.0,0.1,True,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.016659647487381,0.1,0,0,0.0355846910112359,0.0004875702247191,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,low_vol_12,-0.018329338799537402,0.1,0,0,0.0241396535580524,0.0005349051966292,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,ridge_return_train_only,0.006267291513748496,0.0358786092715231,0,0,0.0355846910112359,0.0004875702247191,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.15,0.7083333333333334,0.14166666666666666,0.1,True,ACCEPT decisions
Support only,ACCEPT,constant_a017,649.9999999999873,0.0358786092715231,0,1,0.0730228932584269,0.0005252808988764,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.15,0.85,0.0,0.1,True,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.017656478797819,0.0358786092715231,0,0,0.0355846910112359,0.0004875702247191,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a027,-0.0053,0.0358786092715231,0,0,0.0283084269662921,0.0005108848314606,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,ridge_return_train_only,0.006267291513748496,0.1,0,0,0.0355846910112359,0.0004875702247191,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.15,0.7083333333333334,0.14166666666666666,0.1,True,ACCEPT decisions
Support only,ACCEPT,constant_a017,649.9999999999873,0.1,0,0,0.0730228932584269,0.0005252808988764,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.15,0.85,0.0,0.1,True,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.017656478797819,0.1,0,0,0.0355846910112359,0.0004875702247191,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a027,-0.0053,0.1,0,0,0.0283084269662921,0.0005108848314606,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,REJECT,ridge_return_train_only,32.000000000000014,0.0358786092715231,0,0,0.0355846910112359,0.0004875702247191,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.15,0.2,0.65,0.1,True,ACCEPT decisions
Support only,ACCEPT,constant_a017,649.9999999999873,0.0358786092715231,0,1,0.0730228932584269,0.0005252808988764,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.15,0.85,0.0,0.1,True,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.017656478797819,0.0358786092715231,0,0,0.0355846910112359,0.0004875702247191,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a025,-0.0175735099337748,0.0358786092715231,0,0,0.0274230337078651,0.0004906601123595,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,constant_a003,0.03943876686804826,0.1,0,0,0.0414182584269662,0.000610077247191,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.15,0.3333333333333333,0.5166666666666667,0.1,True,ACCEPT decisions
Support only,ACCEPT,constant_a017,649.9999999999873,0.1,0,0,0.0730228932584269,0.0005252808988764,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.15,0.85,0.0,0.1,True,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.017656478797819,0.1,0,0,0.0355846910112359,0.0004875702247191,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a025,-0.0175735099337748,0.1,0,0,0.0274230337078651,0.0004906601123595,daily_industry_30,daily industry/factor,adversarial_support_mismatch,27,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,REJECT,momentum_12,2568.9999999998813,0.0358786092715231,0,0,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,block,bootstrap,baseline_linked,paper_natural,0.25,,0.14166666666666666,0.6666666666666666,0.19166666666666668,0.10833333333333334,False,ACCEPT decisions
Support only,ACCEPT,momentum_12,2568.9999999998813,0.0358786092715231,0,1,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,block,bootstrap,baseline_linked,paper_natural,0.25,,0.14166666666666666,0.8583333333333333,0.0,0.10833333333333334,False,ACCEPT decisions
LCB only,ACCEPT,constant_a011,0.0035288891167274,0.0358786092715231,1,1,0.045716713483146,0.0007544592696629,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,block,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,ridge_return_train_only,-0.0053065719360568,0.0358786092715231,0,0,0.0326437031835206,0.0004321956928838,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,block,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,momentum_12,0.38841747572815505,0.1,0,0,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,block,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.14166666666666666,0.7333333333333333,0.125,0.10833333333333334,False,ACCEPT decisions
Support only,ACCEPT,momentum_12,2568.9999999998813,0.1,0,0,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,block,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.14166666666666666,0.8583333333333333,0.0,0.10833333333333334,False,ACCEPT decisions
LCB only,ACCEPT,constant_a011,0.0035288891167274,0.1,0,0,0.045716713483146,0.0007544592696629,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,block,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,ridge_return_train_only,-0.0053065719360568,0.1,0,0,0.0326437031835206,0.0004321956928838,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,block,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,REJECT,momentum_12,2568.9999999998813,0.0358786092715231,0,0,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.14166666666666666,0.21666666666666667,0.6416666666666667,0.10833333333333334,False,ACCEPT decisions
Support only,ACCEPT,momentum_12,2568.9999999998813,0.0358786092715231,0,1,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.14166666666666666,0.8583333333333333,0.0,0.10833333333333334,False,ACCEPT decisions
LCB only,ACCEPT,constant_a011,0.0035288891167274,0.0358786092715231,0,1,0.045716713483146,0.0007544592696629,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,momentum_12,-0.0721154328354012,0.0358786092715231,0,1,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,momentum_12,0.27884567164598806,0.1,0,0,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.14166666666666666,0.35833333333333334,0.5,0.10833333333333334,False,ACCEPT decisions
Support only,ACCEPT,momentum_12,2568.9999999998813,0.1,0,0,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.14166666666666666,0.8583333333333333,0.0,0.10833333333333334,False,ACCEPT decisions
LCB only,ACCEPT,constant_a011,0.0035288891167274,0.1,0,0,0.045716713483146,0.0007544592696629,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,momentum_12,-0.0721154328354012,0.1,0,0,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,REJECT,momentum_12,2568.9999999998813,0.0358786092715231,0,0,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.14166666666666666,0.6666666666666666,0.19166666666666668,0.10833333333333334,False,ACCEPT decisions
Support only,ACCEPT,momentum_12,2568.9999999998813,0.0358786092715231,0,1,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.14166666666666666,0.8583333333333333,0.0,0.10833333333333334,False,ACCEPT decisions
LCB only,ACCEPT,constant_a011,0.002548775600926,0.0358786092715231,1,1,0.045716713483146,0.0007544592696629,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,ridge_return_train_only,-0.0053118752215526,0.0358786092715231,0,0,0.0326437031835206,0.0004321956928838,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,iid,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,momentum_12,0.398407465007775,0.1,0,0,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.14166666666666666,0.7333333333333333,0.125,0.10833333333333334,False,ACCEPT decisions
Support only,ACCEPT,momentum_12,2568.9999999998813,0.1,0,0,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.14166666666666666,0.8583333333333333,0.0,0.10833333333333334,False,ACCEPT decisions
LCB only,ACCEPT,constant_a011,0.002548775600926,0.1,0,0,0.045716713483146,0.0007544592696629,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,ridge_return_train_only,-0.0053118752215526,0.1,0,0,0.0326437031835206,0.0004321956928838,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,REJECT,momentum_12,2568.9999999998813,0.0358786092715231,0,0,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.14166666666666666,0.21666666666666667,0.6416666666666667,0.10833333333333334,False,ACCEPT decisions
Support only,ACCEPT,momentum_12,2568.9999999998813,0.0358786092715231,0,1,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.14166666666666666,0.8583333333333333,0.0,0.10833333333333334,False,ACCEPT decisions
LCB only,ACCEPT,constant_a011,0.002548775600926,0.0358786092715231,0,1,0.045716713483146,0.0007544592696629,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,momentum_12,-0.0711766192093035,0.0358786092715231,0,1,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,momentum_12,0.288233807906965,0.1,0,0,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.14166666666666666,0.3416666666666667,0.5166666666666667,0.10833333333333334,False,ACCEPT decisions
Support only,ACCEPT,momentum_12,2568.9999999998813,0.1,0,0,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.14166666666666666,0.8583333333333333,0.0,0.10833333333333334,False,ACCEPT decisions
LCB only,ACCEPT,constant_a011,0.002548775600926,0.1,0,0,0.045716713483146,0.0007544592696629,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,momentum_12,-0.0711766192093035,0.1,0,0,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,7,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,REJECT,momentum_12,2581.999999999877,0.0358786092715231,0,0,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,17,block,bootstrap,baseline_linked,paper_natural,0.25,,0.11666666666666667,0.7083333333333334,0.175,0.13333333333333333,False,ACCEPT decisions
Support only,ACCEPT,momentum_12,2581.999999999877,0.0358786092715231,0,1,0.0571441011235955,0.0009115870786516,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,17,block,bootstrap,baseline_linked,paper_natural,0.25,,0.11666666666666667,0.8833333333333333,0.0,0.13333333333333333,False,ACCEPT decisions
LCB only,ACCEPT,constant_a027,0.0008174436416071,0.0358786092715231,0,0,0.0283084269662921,0.0005108848314606,daily_industry_30,daily industry/factor,epsilon_greedy_momentum,17,block,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
