DR,return_lcb,return_ucb,risk_hat,risk_ucb,ESS,max_weight,support_gap,truth_return,truth_cvar,eval_n,unsupported_bootstrap_draws,ess_bin,task,family,behavior,seed,split,scheme,policy,baseline_tau
0.0031910365925925943,-0.02335301098074073,0.02040978418000004,0.036461,inf,3.0,26.0,0.9722222222222222,0.009011361111111112,0.15419533333333332,108,16,1,monthly_beme_op,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a000,0.11949838962962965
0.012981481037037043,-0.049386933392592584,0.06496973327407408,0.08982,0.08982,3.0,26.0,0.9722222222222222,0.005691944444444445,0.1491787037037037,108,6,1,monthly_beme_op,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a001,0.11949838962962965
0.0364802332740741,0.00967370325925926,0.0783811161844443,0.0016270000000000002,0.0016270000000000002,4.0,26.0,0.962962962962963,0.009587805555555553,0.13425677777777775,108,2,1,monthly_beme_op,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a002,0.11949838962962965
-0.010263963407407395,-0.049865669659259246,0.018147969540740758,0.050607,0.050607,3.0,26.0,0.9722222222222222,0.007711083333333333,0.09189985185185184,108,8,1,monthly_beme_op,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a003,0.11949838962962965
-0.003969796740740724,-0.04405616263703701,0.020930932503703727,0.052169999999999994,inf,3.0,26.0,0.9722222222222222,0.008999,0.09132614814814814,108,11,1,monthly_beme_op,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a004,0.11949838962962965
0.05306428628148149,-0.008491751715555542,0.11687109891333314,0.032804,0.032804,7.0,26.0,0.9351851851851852,0.007037601851851851,0.14897285185185186,108,1,2,monthly_beme_op,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a005,0.11949838962962965
0.019135103644444464,-0.005372036184444407,0.044136111730370416,0.029575999999999998,0.029575999999999998,4.0,26.0,0.962962962962963,0.008633907407407406,0.12433974074074074,108,3,1,monthly_beme_op,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a006,0.11949838962962965
-0.03166672968888887,-0.08188673760296311,0.004619976562962958,0.06712699999999999,0.06712699999999999,4.0,26.0,0.962962962962963,0.008959064814814816,0.10838277777777777,108,1,1,monthly_beme_op,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a007,0.11949838962962965
0.04954128435555557,0.0109087984,0.10844370773333312,-0.089825,inf,2.0,26.0,0.9814814814814815,0.008833333333333334,0.10437133333333333,108,31,1,monthly_beme_op,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a008,0.11949838962962965
0.021417242801612682,-0.028494426971656613,0.0676309554172842,0.09007499999999999,0.090075,9.0,26.0,0.9166666666666666,0.008357185185185186,0.10816214814814815,108,0,2,monthly_beme_op,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a009,0.11949838962962965
-0.04021374820740738,-0.11110561269481502,0.013134582980740755,0.13239499999999998,0.13239499999999998,4.0,26.0,0.962962962962963,0.006952916666666668,0.1526792962962963,108,3,1,monthly_beme_op,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a010,0.11949838962962965
0.0011543213925925878,-0.012607062174074066,0.010908798400000004,0.013156000000000001,inf,2.0,26.0,0.9814814814814815,0.008470018518518517,0.11324855555555556,108,27,1,monthly_beme_op,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a011,0.11949838962962965
0.01264651552592594,-0.021505146125925897,0.03734565366444448,0.032792,0.032792,6.0,26.0,0.9444444444444444,0.007643851851851852,0.12476462962962963,108,0,2,monthly_beme_op,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a012,0.11949838962962965
-0.0215666441185185,-0.056355457841481466,0.005956695101481486,0.04261,0.04261,5.0,26.0,0.9537037037037037,0.008225361111111112,0.10516055555555555,108,1,2,monthly_beme_op,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a013,0.11949838962962965
-0.0001505419555555431,-0.02226922266666663,0.010908798400000006,0.03503,inf,1.0,26.0,0.9907407407407407,0.01212915740740741,0.12042751851851852,108,63,0,monthly_beme_op,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a014,0.11949838962962965
0.015581578103703716,-0.03768656742814814,0.045914797470370396,0.06367300000000001,0.06367300000000001,5.0,26.0,0.9537037037037037,0.004571592592592592,0.18182740740740738,108,1,2,monthly_beme_op,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a015,0.11949838962962965
0.0024058858962962997,-0.06156493782666665,0.04845477472740743,0.093181,0.093181,6.0,26.0,0.9444444444444444,0.005576574074074074,0.15014825925925926,108,1,2,monthly_beme_op,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a016,0.11949838962962965
