DR,return_lcb,return_ucb,risk_hat,risk_ucb,ESS,max_weight,support_gap,truth_return,truth_cvar,eval_n,unsupported_bootstrap_draws,ess_bin,task,family,behavior,seed,split,scheme,policy,baseline_tau
0.05366327807242798,-0.01213001677666667,0.13155319685806605,0.037602000000000003,0.037602000000000003,5.0,26.0,0.9537037037037037,0.012389592592592593,0.1084932962962963,108,3,2,monthly_beme_inv,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a000,0.11827789185185185
0.03214838924115227,-0.030294262715102875,0.0930143866721812,0.058684,0.058684,10.0,26.0,0.9074074074074074,0.005986157407407407,0.10714711111111111,108,0,3,monthly_beme_inv,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a001,0.11827789185185185
0.011523907644444444,0.011523907644444444,0.011523907644444444,,inf,0.0,0.0,1.0,0.008702425925925926,0.0971386296296296,108,200,0,monthly_beme_inv,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a002,0.11827789185185185
-0.01328768489053498,-0.06792494994798354,0.014446681845967079,0.081902,0.081902,5.0,26.0,0.9537037037037037,0.007643314814814815,0.09719577777777777,108,1,2,monthly_beme_inv,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a003,0.11827789185185185
0.013908533616460904,-0.022155851557201647,0.06505847806090534,0.02559,0.02559,4.0,26.0,0.962962962962963,0.009480231481481482,0.11743285185185184,108,0,1,monthly_beme_inv,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a004,0.11827789185185185
-0.008088866360493828,-0.06517005300440329,0.03880527770234568,0.07836800000000001,0.07836800000000001,6.0,26.0,0.9444444444444444,0.011261194444444447,0.1134698888888889,108,1,2,monthly_beme_inv,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a005,0.11827789185185185
-0.016387523915976296,-0.12834744728137987,0.06565996960859281,0.04154,0.04154000000000001,4.0,26.0,0.962962962962963,0.008031666666666666,0.08997851851851851,108,1,1,monthly_beme_inv,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a006,0.11827789185185185
-0.0045404145432098785,-0.03392813942728395,0.013596248408230451,0.035161,inf,3.0,26.0,0.9722222222222222,0.010627296296296298,0.10327848148148148,108,14,1,monthly_beme_inv,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a007,0.11827789185185185
-0.006323238209462647,-0.016749890259180795,0.009362700343176034,-0.034058000000000005,inf,1.0,26.0,0.9907407407407407,0.0056105277777777785,0.11024014814814816,108,62,0,monthly_beme_inv,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a008,0.11827789185185185
0.010892992864197535,-0.044905873790946495,0.05590479287572018,0.080672,inf,3.0,26.0,0.9722222222222222,0.010969518518518519,0.13062,108,14,1,monthly_beme_inv,monthly size/profit/invest,uniform_high_overlap,7,calibration,iid,constant_a009,0.11827789185185185
