DR,return_lcb,return_ucb,risk_hat,risk_ucb,ESS,max_weight,support_gap,truth_return,truth_cvar,eval_n,unsupported_bootstrap_draws,ess_bin,task,family,behavior,seed,split,scheme,policy,baseline_tau
-0.0007677062467629594,-0.004275371203890851,0.0022554674842763024,0.03590833333333333,0.04920612244897959,96.0,26.0,0.9576158940397351,0.00030348785871964673,0.0393766004415011,2265,0,4,daily_me_op,daily size characteristic,uniform_high_overlap,7,calibration,iid,constant_a000,0.036884644591611476
0.00030176793283706577,-0.0030193799385775304,0.004142533487077002,0.0432,0.05573333333333333,80.0,26.0,0.9646799116997793,0.00045673289183222954,0.03845033112582781,2265,0,4,daily_me_op,daily size characteristic,uniform_high_overlap,7,calibration,iid,constant_a001,0.036884644591611476
0.00024223235549294668,-0.0036865435234597396,0.004322595826340107,0.056725,0.07637027027027027,80.0,26.0,0.9646799116997793,0.00042763796909492266,0.03839094922737307,2265,0,4,daily_me_op,daily size characteristic,uniform_high_overlap,7,calibration,iid,constant_a002,0.036884644591611476
0.0009688946655235628,-0.003081372023593966,0.004687198059473488,0.03823861386138614,0.04670740740740741,101.0,26.0,0.9554083885209713,0.00047395143487858726,0.03862604856512141,2265,0,4,daily_me_op,daily size characteristic,uniform_high_overlap,7,calibration,iid,constant_a003,0.036884644591611476
0.002898765450920939,-0.0018670983484384074,0.007368958006829253,0.047993258426966286,0.05689999999999999,89.0,26.0,0.9607064017660044,0.0004247682119205297,0.04078388520971302,2265,0,4,daily_me_op,daily size characteristic,uniform_high_overlap,7,calibration,iid,constant_a004,0.036884644591611476
-0.0015784321314119426,-0.006031359047908004,0.0024172688592159048,0.029675,0.032130232558139536,96.0,26.0,0.9576158940397351,0.0004983664459161148,0.04207969094922737,2265,0,4,daily_me_op,daily size characteristic,uniform_high_overlap,7,calibration,iid,constant_a005,0.036884644591611476
-0.0003974694120316635,-0.0046784077038691885,0.002945956852510857,0.03559135802469136,0.03821764705882354,81.0,26.0,0.9642384105960264,0.0004000000000000001,0.03936004415011037,2265,0,4,daily_me_op,daily size characteristic,uniform_high_overlap,7,calibration,iid,constant_a006,0.036884644591611476
-0.0011121310046570139,-0.004898312319935508,0.0028543912207664142,0.05832631578947369,0.08275510204081633,95.0,26.0,0.9580573951434879,0.0005164238410596026,0.03821633554083886,2265,0,4,daily_me_op,daily size characteristic,uniform_high_overlap,7,calibration,iid,constant_a007,0.036884644591611476
-0.0025612090635963266,-0.005540651184857495,0.0007763893025089346,0.03905454545454546,0.043317241379310346,88.0,26.0,0.9611479028697572,0.000591523178807947,0.03958874172185431,2265,0,4,daily_me_op,daily size characteristic,uniform_high_overlap,7,calibration,iid,constant_a008,0.036884644591611476
0.0035076325152248915,-0.00014259879357426063,0.007368640400197293,0.031000000000000003,0.034471134020618556,90.0,26.0,0.9602649006622517,0.0006415011037527594,0.04022317880794702,2265,0,4,daily_me_op,daily size characteristic,uniform_high_overlap,7,calibration,iid,constant_a009,0.036884644591611476
